query_id,query,query_type,anchor,extracted_anchor,expected,answer_key,system,answer,factual_accuracy,hallucination_rate,locality_awareness,llm_judge_score,llm_judge_reason,context_chars,world_size
0,Strevon has declared war on a neighboring country. Which country may that be and why?,multi_hop,Strevon,Strevon,Korith,"The most likely target would be Korith. Strevon has a hostile relationship with Korith, making military escalation the expected outcome.",baseline,"Based on the provided data, Strevon is not mentioned in the list of countries. Therefore, it's impossible to determine which neighboring country Strevon has declared war on, as there is no context or information about Strevon in the provided text.",0,0.25,1.0,1.0,The AI response does not provide a correct answer or reasoning based on the given scenario.,120015,large
0,Strevon has declared war on a neighboring country. Which country may that be and why?,multi_hop,Strevon,Strevon,Korith,"The most likely target would be Korith. Strevon has a hostile relationship with Korith, making military escalation the expected outcome.",hgrag,"Strevon may have declared war on Korith, as they are listed as hostile neighbors in the context provided.",2,0.0,1.0,5.0,The AI correctly identified the country (Korith) involved in the scenario based on the provided information.,1832,large
1,What is the population of Cresthaven?,local_fact,Cresthaven,Cresthaven,277k,,baseline,"The provided text does not contain information about the population of Cresthaven as it only lists locations and their relationships to each other, without providing any demographic data.",0,0.0,1.0,,,120015,large
1,What is the population of Cresthaven?,local_fact,Cresthaven,Cresthaven,277k,,hgrag,The population of Cresthaven is 277k.,2,0.0,1.0,,,1111,large
2,What country is Onyxford located in?,hierarchical,Onyxford,Onyxford,Kalden,,baseline,"Based on the provided data, there is no location named ""Onyxford"" in the given list.",0,0.0,1.0,,,120015,large
2,What country is Onyxford located in?,hierarchical,Onyxford,Onyxford,Kalden,,hgrag,Onyxford is located in Kalden.,2,0.0,1.0,,,1217,large
3,What planet is Yorkvale on?,hierarchical,Yorkvale,Yorkvale,Dravos,,baseline,"The provided text does not specify a planet for Yorkvale. It appears to be a collection of locations within a fantasy world, but no specific planet is mentioned.",0,0.0,1.0,,,120015,large
3,What planet is Yorkvale on?,hierarchical,Yorkvale,Yorkvale,Dravos,,hgrag,"Yorkvale is located in Bennis, which is a country on Dravos.",2,0.0,1.0,,,1435,large
4,Which cities does Xenmark have trade relations with?,neighborhood,Xenmark,Xenmark,"Fernfell, Moorcove",,baseline,"Based on the provided data, there is no city named ""Xenmark"" in the list. Therefore, it cannot be determined which cities Xenmark has trade relations with.",0,0.333,1.0,,,120015,large
4,Which cities does Xenmark have trade relations with?,neighborhood,Xenmark,Xenmark,"Fernfell, Moorcove",,hgrag,Xenmark has trade relations with Fernfell and Moorcove.,2,0.0,1.0,,,1001,large
