query_id,query,query_type,anchor,extracted_anchor,expected,answer_key,system,answer,factual_accuracy,hallucination_rate,locality_awareness,llm_judge_score,llm_judge_reason,context_chars,world_size
0,Yoremoor has a surplus of goods and temporarily halts the imports of any goods to save money. Which cities would take an economic hit from this?,multi_hop,Yoremoor,Yoremoor,Lochridge Onyxhaven,"The cities that would take an economic hit are Lochridge, Onyxhaven. They supply goods to Yoremoor: Lochridge (exports grain to Yoremoor); Onyxhaven (exports silk to Yoremoor). With Yoremoor halting all imports, these trade partners lose a key market.",baseline,"Yorewood, Onyxhaven, and Eastspire would take an economic hit from Yoremoor's decision to halt imports as they trade with Yoremoor.",1,0.0,0.75,1.0,"The AI response does not match the expected answer, and it incorrectly names cities that were not mentioned in the scenario.",2185,small
0,Yoremoor has a surplus of goods and temporarily halts the imports of any goods to save money. Which cities would take an economic hit from this?,multi_hop,Yoremoor,Yoremoor,Lochridge Onyxhaven,"The cities that would take an economic hit are Lochridge, Onyxhaven. They supply goods to Yoremoor: Lochridge (exports grain to Yoremoor); Onyxhaven (exports silk to Yoremoor). With Yoremoor halting all imports, these trade partners lose a key market.",hgrag,"Onyxwood, Lochridge, and Eastspire would take an economic hit from Yoremoor's decision to halt imports, as they trade with Yoremoor.",1,0.0,1.0,3.0,"While the cities mentioned (Onyxwood, Lochridge, and Eastspire) are not explicitly stated to trade goods with Yoremoor in the scenario, the reasoning that trading cities would be affected by a halt in imports is valid. However, without explicit information linking these cities to Yoremoor's trade, the",1708,small
1,Veldkeep has a surplus of goods and temporarily halts the imports of any goods to save money. Which cities would take an economic hit from this?,multi_hop,Veldkeep,Veldkeep,Yorkridge Veldhaven,"The cities that would take an economic hit are Yorkridge, Veldhaven. They supply goods to Veldkeep: Yorkridge (exports oil to Veldkeep); Veldhaven (exports fuel to Veldkeep). With Veldkeep halting all imports, these trade partners lose a key market.",baseline,"Nethholm, Oakcliff, Umbreholm, and Yorewood would take an economic hit from Veldkeep's decision to halt imports as they have trade relations with it.",0,0.0,1.0,1.0,"The AI response does not match the expected answer, and there is no valid reasoning provided for the cities mentioned.",2185,small
1,Veldkeep has a surplus of goods and temporarily halts the imports of any goods to save money. Which cities would take an economic hit from this?,multi_hop,Veldkeep,Veldkeep,Yorkridge Veldhaven,"The cities that would take an economic hit are Yorkridge, Veldhaven. They supply goods to Veldkeep: Yorkridge (exports oil to Veldkeep); Veldhaven (exports fuel to Veldkeep). With Veldkeep halting all imports, these trade partners lose a key market.",hgrag,"Nethholm, Oakcliff, Yorkridge, Umbreholm, and Veldhaven would take an economic hit from Veldkeep's decision to halt imports. These cities trade with Veldkeep and import goods such as chemicals, oil, fuel, textiles, and machinery.",2,0.125,1.0,2.0,"While the reasoning is plausible, only one city (Veldhaven) mentioned in the Expected Answer is also present in the AI Response. The other city (Yorkridge) is not mentioned in the AI's response, even though it is a key trading partner for Veldkeep as per the Expected Answer.",1584,small
2,What planet is Jadewick on?,hierarchical,Jadewick,Jadewick,Celenis,,baseline,Not found in context. The cities mentioned do not have any direct relation to a specific planet in the provided context.,0,0.0,1.0,,,1925,small
2,What planet is Jadewick on?,hierarchical,Jadewick,Jadewick,Celenis,,hgrag,Jadewick is located in the planet Celenis.,2,0.0,1.0,,,1160,small
3,What is the population of Lochmoor?,local_fact,Lochmoor,Lochmoor,281k,,baseline,The population of Lochmoor is 281k.,2,0.0,1.0,,,2136,small
3,What is the population of Lochmoor?,local_fact,Lochmoor,Lochmoor,281k,,hgrag,The population of Lochmoor is 281k.,2,0.0,1.0,,,950,small
4,What planet is Nethholm on?,hierarchical,Nethholm,Nethholm,Vortan,,baseline,Not found in context.,0,0.0,1.0,,,1925,small
4,What planet is Nethholm on?,hierarchical,Nethholm,Nethholm,Vortan,,hgrag,Nethholm is located in Vortan (a planet).,2,0.0,1.0,,,1159,small
