query_id,query,query_type,anchor,extracted_anchor,expected,answer_key,system,answer,factual_accuracy,hallucination_rate,locality_awareness,llm_judge_score,llm_judge_reason,context_chars,world_size
0,Strevon has declared war on a neighboring country. Which country may that be and why?,multi_hop,Strevon,Strevon,Korith,"The most likely target would be Korith. Strevon has a hostile relationship with Korith, making military escalation the expected outcome.",baseline,Not found in context. The provided context does not mention any declaration of war by Strevon.,0,0.0,1.0,1.0,The question does not provide sufficient information to determine which country Strevon might declare war on.,2345,large
0,Strevon has declared war on a neighboring country. Which country may that be and why?,multi_hop,Strevon,Strevon,Korith,"The most likely target would be Korith. Strevon has a hostile relationship with Korith, making military escalation the expected outcome.",hgrag,"Strevon may have declared war on Korith, as the relation between them is listed as hostile in the context provided.",2,0.0,1.0,5.0,The AI correctly identified the country (Korith) involved in the scenario based on the given information.,1832,large
1,What is the population of Cresthaven?,local_fact,Cresthaven,Cresthaven,277k,,baseline,Not found in context.,0,0.0,1.0,,,2103,large
1,What is the population of Cresthaven?,local_fact,Cresthaven,Cresthaven,277k,,hgrag,The population of Cresthaven is 277k.,2,0.0,1.0,,,1111,large
2,What country is Onyxford located in?,hierarchical,Onyxford,Onyxford,Kalden,,baseline,Not found in context.,0,0.0,1.0,,,2396,large
2,What country is Onyxford located in?,hierarchical,Onyxford,Onyxford,Kalden,,hgrag,Onyxford is located in Kalden.,2,0.0,1.0,,,1217,large
3,What planet is Yorkvale on?,hierarchical,Yorkvale,Yorkvale,Dravos,,baseline,Not found in context.,0,0.0,1.0,,,2126,large
3,What planet is Yorkvale on?,hierarchical,Yorkvale,Yorkvale,Dravos,,hgrag,"Yorkvale is located in Bennis, which is a country on Dravos.",2,0.0,1.0,,,1435,large
4,Which cities does Xenmark have trade relations with?,neighborhood,Xenmark,Xenmark,"Fernfell, Moorcove",,baseline,Not found in context.,0,0.0,1.0,,,2589,large
4,Which cities does Xenmark have trade relations with?,neighborhood,Xenmark,Xenmark,"Fernfell, Moorcove",,hgrag,Xenmark has trade relations with Fernfell and Moorcove.,2,0.0,1.0,,,1001,large
5,Which cities share a border with Pinecove?,neighborhood,Pinecove,Pinecove,"Ashbay, Zorcove, Eastspire, Lochmoor",,baseline,Not found in context. The provided context does not mention any city named 'Pinecove'.,0,0.0,1.0,,,2248,large
5,Which cities share a border with Pinecove?,neighborhood,Pinecove,Pinecove,"Ashbay, Zorcove, Eastspire, Lochmoor",,hgrag,"Eastspire, Zorcove, and Firehold.",1,0.0,1.0,,,1212,large
6,Which cities does Portmere have trade relations with?,neighborhood,Portmere,Portmere,Edgebay,,baseline,Not found in context. (Portmere is not mentioned in the provided context.),0,0.0,1.0,,,2589,large
6,Which cities does Portmere have trade relations with?,neighborhood,Portmere,Portmere,Edgebay,,hgrag,Portmere has trade relations with Edgebay.,2,0.0,1.0,,,1245,large
7,What planet is Jornpeak on?,hierarchical,Jornpeak,Jornpeak,Umbriel,,baseline,Not found in context.,0,0.0,1.0,,,2126,large
7,What planet is Jornpeak on?,hierarchical,Jornpeak,Jornpeak,Umbriel,,hgrag,Jornpeak is located in Umbriel (a planet).,2,0.0,1.0,,,1228,large
8,Which cities share a border with Xenmark?,neighborhood,Xenmark,Xenmark,"Fernford, Jornfell",,baseline,Not found in context. The provided context does not mention any city named Xenmark.,0,0.0,1.0,,,2248,large
8,Which cities share a border with Xenmark?,neighborhood,Xenmark,Xenmark,"Fernford, Jornfell",,hgrag,Fernford and Jornfell share a border with Xenmark.,2,0.0,1.0,,,1001,large
9,Which cities share a border with Oakwick?,neighborhood,Oakwick,Oakwick,"Thorndale, Xarbridge, Zorbridge, Grimford",,baseline,Not found in context. The cities of Oakwick are not mentioned in the provided context.,0,0.0,1.0,,,2248,large
9,Which cities share a border with Oakwick?,neighborhood,Oakwick,Oakwick,"Thorndale, Xarbridge, Zorbridge, Grimford",,hgrag,"Zorbridge, Grimford, and Xarbridge share a border with Oakwick.",2,0.0,1.0,,,1207,large
10,Which planet does the country Bennis belong to?,hierarchical,Bennis,Bennis,Dravos,,baseline,Not found in context.,0,0.0,1.0,,,2212,large
10,Which planet does the country Bennis belong to?,hierarchical,Bennis,Bennis,Dravos,,hgrag,The country Bennis belongs to the planet Dravos.,2,0.0,1.0,,,1840,large
11,What does Ironfell export?,local_fact,Ironfell,Ironfell,"technology, pharmaceuticals",,baseline,Not found in context.,0,0.0,1.0,,,1710,large
11,What does Ironfell export?,local_fact,Ironfell,Ironfell,"technology, pharmaceuticals",,hgrag,Ironfell exports technology and pharmaceuticals.,2,0.0,1.0,,,1087,large
12,What does Veldbay export?,local_fact,Veldbay,Veldbay,"timber, coal",,baseline,Not found in context.,0,0.0,1.0,,,1710,large
12,What does Veldbay export?,local_fact,Veldbay,Veldbay,"timber, coal",,hgrag,Veldbay exports timber and coal.,2,0.0,1.0,,,1093,large
13,Which cities does Bluehaven have trade relations with?,neighborhood,Bluehaven,Bluehaven,Jornford,,baseline,Not found in context. Bluehaven is not mentioned in the provided context.,0,0.0,1.0,,,2589,large
13,Which cities does Bluehaven have trade relations with?,neighborhood,Bluehaven,Bluehaven,Jornford,,hgrag,Bluehaven has trade relations with Jornford.,2,0.0,1.0,,,1269,large
14,Trevak has declared war on a neighboring country. Which country may that be and why?,multi_hop,Trevak,Trevak,Braxis Feroth Qundis,"The most likely target would be Braxis, Feroth, Qundis. Trevak has a hostile relationship with them, making military escalation the expected outcome.",baseline,Not found in context. The provided context does not mention any country named 'Trevak'.,0,0.0,1.0,1.0,The question does not provide information about a country named 'Trevak' declaring war on another country.,2345,large
14,Trevak has declared war on a neighboring country. Which country may that be and why?,multi_hop,Trevak,Trevak,Braxis Feroth Qundis,"The most likely target would be Braxis, Feroth, Qundis. Trevak has a hostile relationship with them, making military escalation the expected outcome.",hgrag,"Trevak is hostile towards Qundis, Feroth, and Braxis in the context provided. However, since Trevak is neutral with Morthal and Lyssen, and has no trade relations with Sundar, it's most likely that Trevak has declared war on either Qundis, Feroth, or Braxis due to their hostile relationship status.",2,0.077,1.0,5.0,"The AI correctly identified the countries (Qundis, Feroth, Braxis) that Trevak may have a hostile relationship with, based on the provided context.",1813,large
15,Which planet does the country Kalden belong to?,hierarchical,Kalden,Kalden,Umbriel,,baseline,Not found in context.,0,0.0,1.0,,,2212,large
15,Which planet does the country Kalden belong to?,hierarchical,Kalden,Kalden,Umbriel,,hgrag,The country Kalden belongs to Umbriel.,2,0.0,1.0,,,1820,large
16,Crestwatch is experiencing a labor strike that halts the export of chemicals and technology. Which cities are affected by this and why?,multi_hop,Crestwatch,Crestwatch,Yorkdale,The cities affected are Yorkdale. They rely on Crestwatch for imported goods: Yorkdale (imports chemicals from Crestwatch). The labor strike halting exports of chemicals and technology directly disrupts their supply.,baseline,"The labor strike in Crestwatch affects Keldwatch, Umbrefell, Holtholm, Holtstead, Bluehaven, and Umbrehaven. These cities are affected because they all export or import chemicals, which production or supply is disrupted due to the strike in Crestwatch. Additionally, Holtholm, Holtstead, and Bluehaven also export technology, which may be impacted if Crestwatch is a significant supplier of this commodity.",0,0.143,0.429,1.0,"The AI response does not match the expected answer as it names multiple cities that are not mentioned in the question or the expected answer. Furthermore, there is no reasoning provided to support these city names.",2154,large
16,Crestwatch is experiencing a labor strike that halts the export of chemicals and technology. Which cities are affected by this and why?,multi_hop,Crestwatch,Crestwatch,Yorkdale,The cities affected are Yorkdale. They rely on Crestwatch for imported goods: Yorkdale (imports chemicals from Crestwatch). The labor strike halting exports of chemicals and technology directly disrupts their supply.,hgrag,"Ferndale and Yorkdale are affected by the labor strike in Crestwatch, as they import chemicals and technology from Crestwatch respectively.",2,0.0,1.0,5.0,The AI correctly identified both cities involved (Yorkdale) and provided a valid reasoning for their involvement.,1229,large
17,What is the stability level of Veldbay?,local_fact,Veldbay,Veldbay,Unstable,,baseline,Not found in context.,0,0.0,1.0,,,2566,large
17,What is the stability level of Veldbay?,local_fact,Veldbay,Veldbay,Unstable,,hgrag,The stability level of Veldbay is Unstable.,2,0.5,1.0,,,1093,large
18,Which planet does the country Halvor belong to?,hierarchical,Halvor,Halvor,Umbriel,,baseline,Not found in context.,0,0.0,1.0,,,2212,large
18,Which planet does the country Halvor belong to?,hierarchical,Halvor,Halvor,Umbriel,,hgrag,The country Halvor belongs to Umbriel (a planet).,2,0.0,1.0,,,1820,large
19,What is the stability level of Ashbay?,local_fact,Ashbay,Ashbay,High,,baseline,Not found in context.,0,0.0,1.0,,,2566,large
