query_id,query,query_type,anchor,extracted_anchor,expected,answer_key,system,answer,factual_accuracy,hallucination_rate,locality_awareness,llm_judge_score,llm_judge_reason,context_chars,world_size
0,Yoremoor has a surplus of goods and temporarily halts the imports of any goods to save money. Which cities would take an economic hit from this?,multi_hop,Yoremoor,Yoremoor,Lochridge Onyxhaven,"The cities that would take an economic hit are Lochridge, Onyxhaven. They supply goods to Yoremoor: Lochridge (exports grain to Yoremoor); Onyxhaven (exports silk to Yoremoor). With Yoremoor halting all imports, these trade partners lose a key market.",baseline,"Cities that would take an economic hit from Yoremoor halting its imports are Lochridge, Jadewick, and Onyxwood due to their trade relationships with Yoremoor.",1,0.167,1.0,3.0,"One city (Onyxhaven) is correct, but the other two cities mentioned (Lochridge and Onyxwood) are not in the Expected Answer.",5188,small
0,Yoremoor has a surplus of goods and temporarily halts the imports of any goods to save money. Which cities would take an economic hit from this?,multi_hop,Yoremoor,Yoremoor,Lochridge Onyxhaven,"The cities that would take an economic hit are Lochridge, Onyxhaven. They supply goods to Yoremoor: Lochridge (exports grain to Yoremoor); Onyxhaven (exports silk to Yoremoor). With Yoremoor halting all imports, these trade partners lose a key market.",hgrag,"Lochridge, Onyxwood, and Eastspire would take an economic hit from Yoremoor's decision to halt imports, as they trade with Yoremoor.",1,0.0,1.0,3.0,"Two of the cities (Lochridge and Onyxhaven) are correct, but one city (Onyxwood) is incorrect in the AI Response. The reasoning is sound.",1708,small
1,Veldkeep has a surplus of goods and temporarily halts the imports of any goods to save money. Which cities would take an economic hit from this?,multi_hop,Veldkeep,Veldkeep,Yorkridge Veldhaven,"The cities that would take an economic hit are Yorkridge, Veldhaven. They supply goods to Veldkeep: Yorkridge (exports oil to Veldkeep); Veldhaven (exports fuel to Veldkeep). With Veldkeep halting all imports, these trade partners lose a key market.",baseline,"Nethholm, Oakcliff, Yorkridge, Umbreholm, Veldhaven, Yorewood, Lochfield, and Oakridge will take an economic hit from Veldkeep halting imports due to their trade relationships.",2,0.0,1.0,3.0,"While some of the cities mentioned (Yorkridge, Veldhaven) are correct, there are also incorrect cities listed (Nethholm, Oakcliff, Umbreholm, Yorewood, Lochfield, Oakridge). The reasoning is sound in terms of trade relationships but lacks specificity to the scenario provided.",5188,small
1,Veldkeep has a surplus of goods and temporarily halts the imports of any goods to save money. Which cities would take an economic hit from this?,multi_hop,Veldkeep,Veldkeep,Yorkridge Veldhaven,"The cities that would take an economic hit are Yorkridge, Veldhaven. They supply goods to Veldkeep: Yorkridge (exports oil to Veldkeep); Veldhaven (exports fuel to Veldkeep). With Veldkeep halting all imports, these trade partners lose a key market.",hgrag,"Nethholm, Oakcliff, Yorkridge, and Umbreholm would take an economic hit from Veldkeep's decision to halt imports since they trade with Veldkeep.",1,0.0,1.0,2.0,"The AI response includes cities (Nethholm, Oakcliff, Umbreholm) not mentioned in the expected answer as trading partners of Veldkeep. However, the reasoning approach is valid.",1584,small
2,What planet is Jadewick on?,hierarchical,Jadewick,Jadewick,Celenis,,baseline,Jadewick is located on the planet Celenis.,2,0.0,1.0,,,5188,small
2,What planet is Jadewick on?,hierarchical,Jadewick,Jadewick,Celenis,,hgrag,Jadewick is located in the planet Celenis.,2,0.0,1.0,,,1160,small
3,What is the population of Lochmoor?,local_fact,Lochmoor,Lochmoor,281k,,baseline,"The population of Lochmoor is 281,000.",0,0.0,1.0,,,5188,small
3,What is the population of Lochmoor?,local_fact,Lochmoor,Lochmoor,281k,,hgrag,The population of Lochmoor is 281k.,2,0.0,1.0,,,950,small
4,What planet is Nethholm on?,hierarchical,Nethholm,Nethholm,Vortan,,baseline,Nethholm is on the planet Vortan.,2,0.0,1.0,,,5188,small
4,What planet is Nethholm on?,hierarchical,Nethholm,Nethholm,Vortan,,hgrag,Nethholm is located in Vortan (a planet).,2,0.0,1.0,,,1159,small
